year,Type,Co2 Emission
1809,Gas,0.0
1809,Oil,0.0
1809,Other Industries,0.0
1810,Coal,186.062
1810,Gas,0.0
1810,Oil,0.0
1810,Other Industries,0.0
1811,Coal,197.01600000000002
1811,Gas,0.0
1811,Oil,0.0
1811,Other Industries,0.0
1812,Coal,204.066
1812,Gas,0.0
1812,Oil,0.0
1812,Other Industries,0.0
1813,Coal,205.055
1813,Gas,0.0
1813,Oil,0.0
1813,Other Industries,0.0
1814,Coal,209.518
1814,Gas,0.0
1814,Oil,0.0
1814,Other Industries,0.0
1815,Coal,216.23600000000002
1815,Gas,0.0
1815,Oil,0.0
1815,Other Industries,0.0
1816,Coal,236.995
1816,Gas,0.0
1816,Oil,0.0
1816,Other Industries,0.0
1817,Coal,245.715
1817,Gas,0.0
1817,Oil,0.0
1817,Other Industries,0.0
1818,Coal,246.652
1818,Gas,0.0
1818,Oil,0.0
1818,Other Industries,0.0
1819,Coal,248.212
1819,Gas,0.0
1819,Oil,0.0
1819,Other Industries,0.0
1820,Coal,251.853
1820,Gas,0.0
1820,Oil,0.0
1820,Other Industries,0.0
1821,Coal,255.517
1821,Gas,0.0
1821,Oil,0.0
1821,Other Industries,0.0
1822,Coal,265.592
1822,Gas,0.0
1822,Oil,0.0
1822,Other Industries,0.0
1823,Coal,280.945
1823,Gas,0.0
1823,Oil,0.0
1823,Other Industries,0.0
1824,Coal,290.592
1824,Gas,0.0
1824,Oil,0.0
1824,Other Industries,0.0
1825,Coal,301.507
1825,Gas,0.0
1825,Oil,0.0
1825,Other Industries,0.0
1826,Coal,304.466
1826,Gas,0.0
1826,Oil,0.0
1826,Other Industries,0.0
1827,Coal,326.677
1827,Gas,0.0
1827,Oil,0.0
1827,Other Industries,0.0
1828,Coal,329.995
1828,Gas,0.0
1828,Oil,0.0
1828,Other Industries,0.0
1829,Coal,328.381
1829,Gas,0.0
1829,Oil,0.0
1829,Other Industries,0.0
1830,Coal,441.433
1830,Gas,0.0
1830,Oil,0.0
1830,Other Industries,0.0
1831,Coal,418.105
1831,Gas,0.0
1831,Oil,0.0
1831,Other Industries,0.0
1832,Coal,419.503
1832,Gas,0.0
1832,Oil,0.0
1832,Other Industries,0.0
1833,Coal,426.972
1833,Gas,0.0
1833,Oil,0.0
1833,Other Industries,0.0
1834,Coal,435.663
1834,Gas,0.0
1834,Oil,0.0
1834,Other Industries,0.0
1835,Coal,443.595
1835,Gas,0.0
1835,Oil,0.0
1835,Other Industries,0.0
1836,Coal,514.416
1836,Gas,0.0
1836,Oil,0.0
1836,Other Industries,0.0
1837,Coal,512.844
1837,Gas,0.0
1837,Oil,0.0
1837,Other Industries,0.0
1838,Coal,530.157
1838,Gas,0.0
1838,Oil,0.0
1838,Other Industries,0.0
1839,Coal,547.025
1839,Gas,0.0
1839,Oil,0.0
1839,Other Industries,0.0
1840,Coal,582.9010000000001
1840,Gas,0.0
1840,Oil,0.0
1840,Other Industries,0.0
1841,Coal,600.667
1841,Gas,0.0
1841,Oil,0.0
1841,Other Industries,0.0
1842,Coal,633.682
1842,Gas,0.0
1842,Oil,0.0
1842,Other Industries,0.0
1843,Coal,648.735
1843,Gas,0.0
1843,Oil,0.0
1843,Other Industries,0.0
1844,Coal,688.502
1844,Gas,0.0
1844,Oil,0.0
1844,Other Industries,0.0
1845,Coal,753.643
1845,Gas,0.0
1845,Oil,0.0
1845,Other Industries,0.0
1846,Coal,763.525
1846,Gas,0.0
1846,Oil,0.0
1846,Other Industries,0.0
1847,Coal,831.8389999999999
1847,Gas,0.0
1847,Oil,0.0
1847,Other Industries,0.0
1848,Coal,835.471
1848,Gas,0.0
1848,Oil,0.0
1848,Other Industries,0.0
1849,Coal,881.068
1849,Gas,0.0
1849,Oil,0.0
1849,Other Industries,0.0
1850,Coal,944.8240000000001
1850,Gas,0.0
1850,Oil,0.0
1850,Other Industries,0.0
1851,Coal,944.689
1851,Gas,0.0
1851,Oil,0.0
1851,Other Industries,0.0
1852,Coal,984.086
1852,Gas,0.0
1852,Oil,0.0
1852,Other Industries,0.0
1853,Coal,1025.62
1853,Gas,0.0
1853,Oil,0.0
1853,Other Industries,0.0
1854,Coal,1209.253
1854,Gas,0.0
1854,Oil,0.0
1854,Other Industries,0.0
1855,Coal,1224.132
1855,Gas,0.0
1855,Oil,0.185
1855,Other Industries,0.0
1856,Coal,1306.004
1856,Gas,0.0
1856,Oil,0.2
1856,Other Industries,0.0
1857,Coal,1316.862
1857,Gas,0.0
1857,Oil,0.255
1857,Other Industries,0.0
1858,Coal,1336.133
1858,Gas,0.0
1858,Oil,0.311
1858,Other Industries,0.0
1859,Coal,1413.993
1859,Gas,0.0
1859,Oil,0.276
1859,Other Industries,0.0
1860,Coal,1555.06
1860,Gas,0.0
1860,Oil,0.96
1860,Other Industries,0.0
1861,Coal,1641.754
1861,Gas,0.0
1861,Oil,2.9779999999999998
1861,Other Industries,0.0
1862,Coal,1668.43
1862,Gas,0.0
1862,Oil,4.479
1862,Other Industries,0.0
1863,Coal,1772.556
1863,Gas,0.0
1863,Oil,4.289
1863,Other Industries,0.0
1864,Coal,1911.715
1864,Gas,0.0
1864,Oil,3.775
1864,Other Industries,0.0
1865,Coal,2036.142
1865,Gas,0.0
1865,Oil,4.495
1865,Other Industries,0.0
1866,Coal,2100.167
1866,Gas,0.0
